english,farsi
abortion,سقط
abortion,سقط جنین
abortion,بچهاندازی
abortion,سقطجنین
abortion,کورتاژ
abortion causing,بچهانداز
abortive,عقیم
abound,بوفور یافت شدن
abound,وفور یافتن
abound,وفور داشتن
abound,وفور پیدا کردن
abound,زیاد بودن
about,حدود
about,به حدود
about,در باره
about,راجعبه
about,پیرامون
about,در حدود
about,در شرف
about,در ب^ره
about,در مورد
about face,جهت دیگر
about this,در ین باره
about to die,در دم مرگ
about to give birth,زائو
about to start,راهی
above,بالی سر
above,نام برده
above,مکوردرفوق
above,واقع دربالا
above,مافوق
above,از فراز
above,در بالی
above,بالی
above,بر روی
abracadabra,سخن نامفهوم
abradant,سوزش اور
Abraham,ابراهیم
Abraham,ابراهیم پیامبر
Abraham Lincoln,ابراهام لینکلن
abrasion,خراش
abrasion,سیش
abrasive,سوزش اور
abrasive,سیا
abrasive,سینده
abrasive,سیشی
abreviation,مخفف
abreviation,مخفف
abridged,تلخیص شده
abridged,مجمل
abridgement,اقتصار
abroach,بهم زده
abroad,ممالک بیگانه
abroad,گسترش یافته
abrubtly,تند
abrupt,ناگهان
abrupt,تند
abruptly,بی مقدمه
abscess,ابسه
abscess,دنبل
abscess,دمل
abscess,پیله
abscissa,بعد افقی
abscond,روپنهان کردن
absence,نبودن
absence,غیاب
absence,غیبت
absence,مغیب
absence,فقدان
absence,غیبی
absence,جا خالی
absent,غیب
absent,غیب
absent,غیابی
absent,غیرموجود
absent,غیبت کردن
absent-minded,کم حافظه
absent-minded,بی حواس
absentee,شخص غیب
absentee,غیابی
absentee,غیب
absentminded,حواسپرت
absentmindedness,حواس پرتی
absolut majority,اکثریت مطلق
absolute,مطلق
absolute,محض
absolute,مطلقه
absolute address,نشانی مطلق
absolute ignorance,جهل مرکب
absolute power of attorney,وکالت مطلغ
absolute rule,حکومت مطلقه
absolute value,قدر مطلق
absolutely,مطلقا
absolutely,مطلقاً
absolutely,علیالاطلاق
absolve,اعلام بیتقصیری کردن
absolve,بری الذمه کردن
absorb,مکیدن
absorb,جذب کردن
absorb,در کشیدن
absorb,مستغرق بودن
absorb,دراشا میدن
absorb,کاملا فروبردن
absorb moisture,رطوبت کشیدن
absorbant,درکش
absorbant,دراشام
absorbed,مکنده
absorbed,مستهلک
absorbed,منجذب
absorbency,فروبری
absorbency,قابلیت جذب
absorbency,قدرت جذب
absorbent,جاذب
absorbent,نشاف
absorber,اشامنده
absorption,انجذاب
absorption,دراشامی
absorption,درکشی
absorption,جذب
absorptive,جذب کننده
abstain,خودداری کردن
abstain,نکول کردن
abstaining,پرهیز
abstaining,ممتنع
abstemious,پرهیزکار
abstemious,پرهیزگار
abstention,نکول
abstergent,شستشو دهنده
abstinence,اجتناب
abstinence,پرهیزگاری
abstinence,پرهیزکاری
abstinence,پرهیز
abstract,اجمالی
abstract,انتزاعی
abstract,چکیده کردن
abstract,براهیخته
abstract,اجمال
abstract,خلاصه
abstract noun,اسم معنی
abstract number,عدد مطلق
abstraction,تجرید
abstraction,چکیدگی
abstraction,انتزاع
abstraction,براهنگ
abstractive,موجد تجرد
abstractive,تجریدی
abstruse,مغلق
abstruse,غامض
absurd,بی معنی
absurd,چرندی
absurd,مزخرف
absurdity,مزخرف بودن
Abtin,ابتین
Abu Dhabi,ابوظبی
Abu Hanifa,ابو هنیفه
Abu Musab Zarqawi,ابو موسی زرقاوی
Abu-Ali,ابوعلی
Abu-Taleb,ابوطالب
Abubakr,ابوبکر
abundance,وفور
abundance,فراوانی
abundance,انبوهی
abundance,برکت
abundant,وافر
abundant,فراوان
abundant,انبوه
abundant,شیگان
abundant,فره
abundantly,بفراوانی
abuse,سوءاستفاده کردن
abuse,سواستفاده کردن
abuse,بد بکار بردن
abuse,سوء استفاده
abuse,سوءاستعمال
abuse,بد استعمال کردن
abusive,سوء استعمال
abusive,فحاش
abusive,فحاش
abusive language,فحش
abusive language,بد زبانی
abusiveness,فحاشی
abut,مماس بودن
abut,مجاور بودن
abutment,بست دیوار
abutment,پیه جناحی
abuttals,زمین مجاور
abuttals,زمین همسیه
abutting,هم مرز
abysm,غوطه ورساختن
abysmal,مغاکی
abyss,درکه
abyss,مغاک
abyss,حضیض
abyss,ورطه
abyss,غوطه ورساختن
abyssal,ناپیمودنی
abyssal,ژرفزیوی
acacia,اقاقیا
academia,انجمن دانش
academian,عضوانجمن علمی
academian,عضو اکادمی
academic,اکادمیک
academic,عضو فرهنگستان
academic,تحصیلی
academic paper,مدرک تحصیلی
academic year,سال تحصیلی
academician,عضو اکادمی
academy,فرهنگستان
academy,اکادمی
academy,مکتب فرهنگستان
academy,اموزشگاه
acanthocephala,خارسران
acanthus,کنگر
Acapulco,اکاپولکو
acatalepsy,فلسفه احتمالی
accede,رضیت دادن
accelerate,شتاب بخشیدن
accelerate,سرعت دادن
accelerate,شتاب کردن
accelerate,سرعت گرفتن
accelerate,تسریع کردن
accelerate,تسریع شدن
accelerate,تند شدن
acceleration,تسریع
acceleration,شتاب
acceleration,افزیش سرعت
accelerative,شتابی
accelerator,شتاباننده
accelerator,گاز
accelerator,تند کن
accent,لهجه
accent,گویش
accentual,لهجهی
accept,اجابت کردن
accept,موافقت شدن
accept,قبول کردن
accept,تقبل کردن
accept,حاضر شدن
accept,پذیرفتن
acceptability,قابلیت پذیرش
acceptability,پذیرفتگی
acceptability,مقبولیت
acceptable,قابل پذیرش
acceptable,پذیرفتنی
acceptable,موجه
acceptable,بلامانع
acceptance,قبولی
acceptance,پذیرش
acceptance,قبول
acceptance,اجابت
acceptance,تقبل
acceptance test,ازمون پذیرش
acceptant,قبول کننده
acceptation,معنی مصطلح
accepted,مقبول
accepted,مستجاب
accepted,پذیرفته
accepter,قبول کننده
accepting,پذیرا
acceptor,پذیرنده
access,دسترسی
access,دستیابی
access,راه یافتن
access,تقرب
access control,کنترل دستیابی
access time,زمان دستیابی
accessible,دم دستی
accessible,دستیاب
accessible,بدست اوردنی
accessible,دسترس
accession,الحاق حقوق
accession,جلوس کردن
accession,جلوس
accessory,هم دست
accident,سانحه
accident,داهیه
accident,اتفاق
accident,عارضه صرفی
accident,تصادف
accident,حادثه
accident,عرض
accidental,پیشامدی
accidental,تصادفی
accidental,عارضی
accidental,عرضی
accidental,غیر اساسی
accidental,اتفاقی
accidentally,بر حسب تصادف
accidentally,تصادفا
accidentally,بل
accidents,سوانح
accidents,عوارض
accidents,حوادث
acclaim,ندا دادن
acclamation,احسنت
accommodate,جی دادن
accommodate,همساز کردن
accommodate,جا دادن
accompaniment,دم گیری
accompanist,دم گیر
accompany,بدرقه کردن
accompany,توام کردن
accompany,مصاحبت کردن
accompany,همراه رفتن
accompany,مشیعت کردن
accompanying,بدرقه
accomplice,معاون جرم
accomplice,همداستان
accomplice,شریک جرم
accomplice,دستیار
accomplish,بهانجام رساندن
accomplished,مهذب
accomplished,باکمال
accomplished,صاحب کمال
accomplished,کامل شده
accomplishment,کارکرد
accomplishments,کمالات
accord,طیب خاطر
accordance,وفق
according to,به اظهار
according to,به نوشته
according to,به ادعی
according to,به نظر
according to,مطابق
according to,طبق
according to,بمصداق
according to,به گفته
according to,به عقیده
according to,بگزارش
according to,بنابر
according to,بنابه
according to,بنابگفته
according to,بنا به گفته
according to,بر طبق
according to,بر حسب
according to,بزعم
according to,برطبق
according to,مطابق با
according to,ممصادق
according to,بروفق
according to circumstances,بنا بر مقتضیات
according to desire,بر وفق مراد
according to habit,طبق مرسوم
according to habit,بر حسب مرسوم
according to the usual habit,بعادت معلوف
according to the usual habit,بعادت مالوف
according to weight,وزناً
according to what is said,بقرار مسموع
accordingly,به ین ترتیب
accordingly,نتیجتا
accordingly,از ینرو
accordingly,بدین ترتیب
accordingly,بالنتیجه
account,حساب
account,تاریخچه
account card,کارت حساب
account number,شماره حساب
account statement,صورت حساب بانکی
accountable,قابل توضیح
accountancy,حسابداری
accountant,حسابدار
accounting,محاسبه
accounting,حسابداری
accounting,محاسباتی
accounting machine,ماشین حسابداری
accounting office,اداره حسابداری
accounting system,سیستم حسابداری
accounts,محاسبات
accrete,مجگ
accrue,منتج گردیدن
acculturate,فرهنگ پذیرفتن
accumulate,ذخیره کردن
accumulate,انباشتن
accumulate,ترکم کردن
accumulate,گرد کردن
accumulate,اندوختن
accumulate wealth,مال اندوختن
accumulating,احتکاری
accumulation,تراکم
accumulation,انباشتگی
accumulator,انباره
accumulator,انباشتگر
accuracy,صحت
accuracy,دقت
accuracy control,کنترل دقت
accurate,راستین
accurate,دقیق
accusation,افترا
accusation,تهمت
accusation,اتهام
accusative,ریی
accusatory,اتهامی
accusatory,تهمت امیز
accuse,افترا زدن
accuse,متهم ساختن
accuse,متهم کردن
accuse,تهمت زدن
accuse,تهمت بستن
accused,متهم
accused,متهم
accustom,عادی کردن
accustom,عادت دادن
accustom,معتاد ساختن
accustom,اشنا شدن
accustom,خو دادن
accustom,خو گرفتن
accustom,معتاد شدن
accustomed,خوگرفته
accustomed,اموخته
ace,کلمات میید
acellular,بی یاخته
acellular,غیر سلولی
acentric,بی مرکز
acerate,سوزنی شکل
acerbity,دبشی
acetate,استات
acetic,سرکه مانند
acetic acid,جوهر سرکه
achaemenian,هخامنشی
acheron,عالم اسفل
achievable,موفقیت پذیر
achievable,قابل وصول
achievable,صورت پذیر
achievable,قابل تفریق
achieve,دست یافتن
achieve,بهانجام رسانیدن
achievement,کار بزرگ
achilles heel,نقطه ضعف
acid,اسید
acid,سرکه مانند
acid,حامض
acid,جوهر اسید
acid test,وسیله ازمیش
acidic,اسیدی
acidic,اسید دار
acidification,تحمیض
acidification,اسید شدگی
acidifier,میه حموضت
acidimeter,اسید سنج
acidity,اسیدیته
acidity,حموضت
acidophile,اسیدگری
acidulent,کج خلق
aciform,سوزنی شکل
acknowledge,اقرار کردن
acknowledgement,اذعان
acknowledgement,اعتراف
acknowledgment,شهادت نامه
acknowledgment,اقرار
acme,نقطه کمال
acne,غرور جوانی
acne,جوش
acne,غرور جوانی
acock,یک ور
acomia,صلع
acorn,بلوط
acoumeter,سامعه سنج
acoustic,صوتی
acoustic,صدیی
acoustic,صوتی
acoustician,ویژه گر اواشنود
acoustics,صوت شناسی
acoustics,صوت شناسی
acquaintance,معرفت
acquaintance,اشنا
acquaintance,شناسا
acquainted,بلد
acquainted,شناسا
acquiesce,تن در دادن
acquirable,قابل حصول
acquire,اندوختن
acquire knowledge,علم اندوختن
acquired,فرا گرفته
acquired,مکتسب
acquired,اکتسابی
acquired immunity,یمنی اکتسابی
acquirement,فرا گیری
acquirer,اندوزنده
acquisition,فراگیری
acquisition,تحصیل
acquisition,فرا گیری
acquisition,حصول
acquisition,اکتساب
acquisitive,اکتساب کننده
acquit,روسفید کردن
acquit,تبرئه کردن
acquittal,تبرئه
acquittal,برائت ذمه
acquittance,برائت
acrid,تند
acrid,دبش
acrid,گس
acridity,گسی
acrobat,اکروبات
acrography,گچ بری
acronym,سر نام
across,رو به رو
across,ازعرض
across,روبروی
across,روب رو
across from,روبه روی
acrostic,توشیحی
acrostic,جابجا شونده
act,پرده
act,یفا کردن
act,اقدام کردن
act,اقدام به عمل اوردن
act,روح دادن
act as mediator,واسطه شدن
act carelessly,سهل انگاری کردن
act cautiously,مدارا کردن
act conservatively,محافظه کاری کردن
act coyly,ناز کردن
act coyly,غر دادن
act crazy,خل بازی در اوردن
act crazy,خل گری کردن
act deceitfully,نادرستی کردن
act dishonestly,نادرستی کردن
act foolishly,احمقانه رفتار کردن
act gently,ملیمت کردن
act harshly,درشتی کردن
act harshly,خشونت کردن
act imprudently,دست از پا خطا کردن
act in a dastardly way,ناجوانمردی کردن
act inexpertly,ناشیگری کردن
act lewdly,هرزه گی کردن
act miserly,خست ورزیدن
act out,تقلید کردن
act stupidly,حماقت کردن
act stupidly,خریت کردن
acting,یفی نمیش
acting,بازیگری
acting,کفالت کننده
acting crazy,خل بازی
acting crazy,خل گری
actinometer,تابش سنج
action,کنش
action,عمل
action,فعل
action,عملکرد
action,اقدام
action and reaction,فعل و انفعال
actions,عملیات
actions,افعال
activation,فعال سازی
active,کنشی
active,پر تحرک
active,فعال
active,عامل
active agent,اثرکننده
active element,عنصر فعال
active element,عنصر کنشی
actively,فعالانه
actively,فعالانه
activity,فعالیت
actor,بازیگر
actor,بازیگران داستان
actress,بازیگران داستان
actress,بازیگر
actress,بازیگرزن
acts,عملیات
acts,اعمال
actual,حالی
actual address,نشانی واقعی
actual argument,نشانوند واقعی
actual key,کلید واقعی
actuality,امرمسلم
actualize,واقعی کردن
actually,عملا
actually,بالفعل
actually,واقعا
actually,فعلا
actually,در حقیقت
actuary,امارگر
actuary,امارگیر
actuation,بکار اندازی
actuator,بکار اندازنده
acuminate,نوک دار
acumination,عمل تیزکردن
acupunctuate,سوزن فروکردن
acupuncture,طب سوزنی
acupuncture,سوزن درمانی
acute,حاد
acute,سلسله اعصاب مو
acute angle,زاویه حاده
acute angle,زاویه تند
acutely,بحدت
acuteness,ذکاوت
acyclic,ناچرخهی
ad,جنجالی
ad,چرنده
ad,چاروادار
ad,بلد
ad,ضال
ad,بی معرفت
ad,چیت
ad,غادر
ad,چنار
ad hoc,فاقد عمومیت
Adam,ادم ابولبشر
Adam,ادم
Adam's apple,جوزک
adamant,یکدنده
adapt,تطبیق دادن
adaptability,وفق پذیری
adaptable,وفق پذیر
adaptable,سازواری پزیر
adaptation,سازواری
adaptation,اقتباس
adaptation,وفاق
adaptation,تطبیق
adapted,اقتباسی
adapter,وفق دهنده
adapter,سازوارگر
adaption,سازواری
adaptive,وفقی
adaptive,تطبیقی
adaptometer,سازواری سنج
adaptometry,سازواری سنجی
adaptor,سازوارگر
adaptor,وفق دهنده
adbivalent,دوظرفیتی
add,افزودن
add,علاوه کردن
add,اضافه نمودن
add,اضافه کردن
add fuel to fire,اتش دامن زدن
add fuel to the fire,دامن زدن
add up,جمع کردن
add up,جمع زدن
add up,جمع بندی کردن
addable,اضافه شدنی
added,افزوده
adder,مار جعفری
adder,افزیشگر
addict,مبتلا کردن
addict,خو گرفتگی
addict,معتاد کردن
addict,معتاد
addicted,افیونی
addicted,معتاد
addiction,ابتلاء
addiction,ابتلا
addiction,اعتیاد
addiction,اموختگی
adding machine,ماشین افزیشگر
adding up,جمع بندی
addition,علاوه
addition,جمع
addition table,جدول افزیشی
additional,اضافی
additions,مضافات
additions,ملحقات
additive,افزیشی
additive inverse,وارون افزیشی
addle,خرف کردن
address,مخاطب قرار دادن
address,سرخط
address,نشانی
address,اسم و رسم
address,مخاطب ساختن
address,ورنامه
address,ادرس
address,نشانی دادن
address,خطاب کردن
address counter,نشانی شمار
address format,قالب نشانی
address of welcome,خیر مقدم
address part,جز نشانی
address register,ثبات نشانی
address variable,متغیر نشانی
addressability,نشانی پذیری
addressable,نشانی پذیر
addressee,مخاطب
addressee,گیرنده نامه
addresser,مخاطب
addressing,نشانی یابی
addressing,نشانی دهی
addressing,خطاب به
adducement,اقامه
adductor,نزدیک کننده
adduse,استشهاد کردن
adduse,بگواهی خواستن
Adel,عادل
Adeleh,عادله
adept,مرد زبردست
adeptly,زبر دستی
adequate,وافی
adequate,مکفی
adequateness,وفادار ماندن
adequateness,هواخواه بودن
adequateness,متفق بودن
adequateness,جور بودن
adhere,چسباندن
adhere,جور بودن
adhere,چسبیدن
adhere,وفادار ماندن
adhere,هواخواه بودن
adhere,متفق بودن
adherence,تبعیت
adherence,ملازمت
adhesion,دوسیدگی
adhesion,قبول عضویت
adhesion,کشش سطحی
adhesive,ملتصق
adhesive,چسبناک
adhesive,چسبنده
adhesiveness,چسبندگی
adhesiveness,چسبیدگی
Adi,عدی
adinterim,در فاصله
adipose tissue,چربی حیوانی
adjacence,قرب جوار
adjacent,همجوار
adjacent angles,زویی مجاور
adjectival,صفتی
adjectival,وصفی
adjective,صفت
adjoining,مجاور
adjudicate,احقاق کردن
adjudication,احقاق
adjudication,احقاق حق
adjunct,صفت فرعی
adjunction,مشاع سازی
adjuration,لابه
adjust,انطباق یافتن
adjust,تنظیم کردن
adjust,تعدیل کردن
adjust,کم و زیاد کردن
adjust,میزان کردن
adjust with,منطبق شدن
adjustable,قابل تصحیح
adjustable,تنظیم پذیر
adjustable wrench,اچار فرانسه
adjuster,تنظیم کننده
adjuster,معدل
adjuster,معدل
adjusting,منطبق
adjustment,انطباق
adjustment,تعدیل
adjustment,تنظیم
adjustment,تصحیح
adjutant,اجودان
adjuvant,یاری کننده
adlib,بمیل خود
administer justice,احقاق حق کردن
administration,اداره کل
administration,وصیت
administration,فرمداری
administration of justice,دادگستری
administrative,اداری
administrator,فرمدار
administrator,ادارهکننده
administrator,مدیر تصفیه
administrator,فرمدار
admirable,ستودنی
admirable,هژیر
admirable,پسندیده
admirable,قابل تحسین
admirable,قابل پسند
admiral,دریاسالار
admiral,دریابیگی
admiralty,دریاسالاری
admiration,تحسین
admiration,پسند
admire,پسندیدن
admire,متعجب ساختن
admire,تحسین کردن
admirer,ستینده
admirer,تحسینکننده
admirer,ستیشگر
admissibility,روا بودن
admissibility,روائی
admissibility,قابلت قبول
admissibility,پذیرفتگی
admissibility,اختیارداری
admissible,روا
admissible,پذیرفتنی
admissible,قابل تصدیق
admissible,مجاز
admission,اعتراف
admission,بارداد
admission,دخول
admission,پذیرش
admission,اجازه ورود
admission,اجازه دخول
admission fee,ورودیه
admission fee,حقالورود
admittance,هدیت ظاهری
admitted,پذیرفته
admittedly,معترفا
admix,بهم پیوستن
admixtion,هم امیزه
admixture,هم امیزه
admonish,پند دادن
admonitive,نصیحت امیز
admonitory,عبرتانگیز
Adnan Pachechi,عدنان پاچه چی
adnspicuous,غیرمشخص
adolescence,بلوغ
adolescent,نوخاسته
adolescent,نوجوان
adolescent,نوجوان
adopt,فرا گرفتن
adopt,اتخاذ کردن
adopt a pen name,تخلص کردن
adopted sister,خواهر خوانده
adopted son,پسرخوانده
adoption,تبنی
adoption,اتخاذ
adorability,قابلیت پرستش
adorable,قابل پرستش
adorable,قابل پرستش
adorableness,قابلیت پرستش
adoration,عشق ورزی
adoration,پرستش
adore,پرستیدن
adorn,اراستن
adorn,پیراستن
adorn,اریش دادن
adorn,اریش کردن
adorn,مزین کردن
adorning,اریش دهنده
adornment,تزیین
adornment,پیراستگی
adornment,اریش
adornment,اراستگی
adornment,تراز
adornment,زینت
adrenergic,شبیه ادرنالین
adrift,غوطه ورروی اب مج
adroit,زبر دست
adsorption,جذب سطحی
aducity,ضعف پیری
aductive,استشهادی
adulate,مدح گفتن
adult,بالغ
adult,بالغ
adult,بزرگ سال
adult,بزرگ سال
adult,بزرگ
adult,بزرگسال
adult education,اموزش بزرگسالان
adult school,مدرسه بزرگسالان
adult school,مدرسه اکابر
adulterant,استحاله دهنده
adulterate,جازن
adulterate,جازن
adulteration,استحاله
adulterer,فاجر
adulterer,مرد زناکار
adulterer,زانی
adulterer,زناکار
adulterer,فاجر
adulterer,زانی
adulterer,زناکار
adulteress,فاجره
adulteress,زن زناکار
adulteress,زانیه
adulteress,فاجره
adulteress,زانیه
adulterous,زناکارانه
adultery,زنی محصنه
adultery,ازدواج غیرشرعی
adultery,زنا
adults,اکابر
advance,پیش افتادن
advance,پیشرفت کردن
advance,جلو افتادن
advance,جلو امدن
advance,جلو رفتن
advance,ترقی دادن
advance,جلو بردن
advance,ترقی کردن
advance,راقی
advance,پیش رفتن
advance,پیشروی
advance,پیشروی کردن
advance fare,پیش کریه
advance money,سلم
advance payment,پیش پرداخت
advance payment,مساعده
advance purchase,سلف خری
advance wage,پیش مزد
advanced,پیشرفته
advanced,سلم
advancement,پیشروی
advancement,ترفیع
advancement,پیشرفتگی
advancement,پیشرفت
advancing,راقی
advantage,مفید بودن
advantage,حسن
advantage,سودمند بودن
advantage,فیده
advantage,منفعت
advantage,مزیت
advantage,مزیت دادن
advantageous,نافع
advantageous,باصرفه
advantages,منافع
advent,ظهور
adventitious,نابجا
adventitious,عارضی
adventitious,غیر موروثی
adventive,نابومی
adventure,خوان
adventure,ماجریی
adventure,ماجرا
adventurer,ماجراجو
adventurer,ماجرا جو
adventurer,ماجراجو
adventurer,حادثه جو
adventurer,حادثه جو
adventuress,زن جسور
adventurous,پرماجرا
adventurous,پر سرگذشت
adventurous,مخاطره امیز
adventurous,ماجراجویانه
adventurous,مخاطره طلب
adventurous,ماجراجو
adventurousness,ماجراجویی
adverb,عبارت قیدی
adverb,معین فعل
adverb of place,اسم مکان
adverb of time,اسم زمان
adverbial,ظرفی
adversary,هم اورد
adversary,هم اورد
adversary,هم نبرد
adversative,نقضامیز
adverse,ناموافق
adversity,نکبت
adversity,ضرا
adversity,شقاوت
adversity,ادبار
adverting,عطف
advertise,اگهی کردن
advertise,اعلان کردن
advertisement,اگهی
advertisement,تبلیغ
advertisement,اعلان
advertisement,اگهی
advertiser,اگهی گر
advice,اطلاع
advice,پند
advice,اندرز
advice,صوابدید
advice,نصیحت
advisable,مصلحتامیز
advisable,صواب
advisable,مقتضی
advisable,مصلحتی
advisable,مصلحت امیز
advisable,مقرون بصلاح
advisable,قابل توصیه
advise,نصیحت کردن
advise,پند گفتن
advise,پند دادن
advise,توصیه کردن
advise,اگاه کردن
advise,تجویز
advise,اعلامیه
advise,اندرز دادن
adviser,ناصح
adviser,رهنمون
adviser,رهنمون
advisers,نصحا
advisers,ندما
advisor,مستشار
advisor,مشاور
advisor,استاد راهنما
advisory,مشورتی
advisory,نصیحت امیز
advisory,نصیحتی
advocacy,طرفداری
advocate,وکیل مدافع
advocate,طرفدار بودن
aegean,اژه
aeon,قرن بی انتها
aeration,هوا خوردگی
aerial,هویی
aerie,اشیانه مرتفع
aeriferous,هوابر
aerification,تهویه
aerobatics,پرواز خوبی
aerobiosis,هوازیستی
aerobiosis,هوازی
aerogram,هوا نامه
aerogramme,هوا نامه
aerolite,شهاب ثاقب
aerology,جوشناسی
aeronautics,دانش هواپیمائی
aeroscopy,هوابینی
aerospace,ارواسپیس
aerosphere,اتمسفر
aerosphere,کره هوا
aesthete,جمال پرست
aesthetic,ظریف طبع
aestheticism,زیبیی پرستی
aesthetics,زیبائی شناسی
aesthetics,زیبیی گریی
aestival,ناخوشی تابستانی
Afagh,افاق
Afarin,افرین
Afat,عفت
affable,خوش برخورد
affable,خوش خلق
affair,مصلحت
affair,حاجت
affair,امر
affaire,کار و بار
affairs,امور
affairs,مصالح
affect,تاثیر گذاردن
affect,اثر کردن
affectation,تصنع
affected,تصنعی
affected,مبتلا
affected,دچارعلت کردن
affected with,مبتلا به
affection,عاطفه
affection,علاقه
affection,محبت
affection,عطوفت
affection,رافت
affection,عطف
affectional,عطفی
affectionate,عاطف
affectionate,با محبت
affectionate,مهربان
affectionate,محبت امیز
affeir,کار و بار
affidavit,سوگندنامه
affidavit,استشهاد نامه
affidavit,شهادت نامه
affidavit,شهادت نامه
affidavit,استشهاد
affidavy,شهادت نامه
affiliate,مربوط ساختن
affine,نسبت ازدواجی
affirm,اشکارا گفتن
affirm,بحق دانستن
affirmation,یجاب
affirmative,تصدیقامیز
affirmative,مبت
affirmative,عبارت مثبت
affirmative,اظهار مثبت
affirmative,مبت
affirmative answer,جواب مثبت
afflatus,وحی الهی
afflict,رنجور کردن
afflicted,غمزده
afflicted,غصه دار
afflicted,مستمند
afflicted,مصیبت زده
afflicted,غمدیده
afflicted,رنجه
afflicted,بلا دیده
afflicted,دلخسته
afflicting,گریبان گیر
affliction,ابتلاء
affliction,غمزدگی
affliction,ابتلا
affliction,مصیبت
affliction,رنجوری
